time;Скорость приборная;Положение ручки управления по тангажу;РУД левого двигателя;РУД правого двигателя;Форсаж левого двигателя;Форсаж правого двигателя;Правая стойка шасси выпущена;Левая стойка шасси выпущена;Передняя стойка шасси выпущена
T;V;LT;RA;RB;FA;FB;SHR;SHL;SHN
10:10:00.000;0.00;-11.58;-1.50;0.70;0;0;1;1;1
10:10:01.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:02.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:03.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:04.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:05.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:06.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:07.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:08.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:09.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:10.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:11.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:12.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:13.000;0.00;-11.58;-1.50;0.70;0;0;1;1;1
10:10:14.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:15.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:16.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:17.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:18.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:19.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:20.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:21.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:22.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:23.000;0.00;-11.58;-1.00;0.00;0;0;1;1;1
10:10:24.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:25.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:26.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:27.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:28.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:29.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:30.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:31.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:32.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:33.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:34.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:35.000;0.00;-11.58;-1.50;0.70;0;0;1;1;1
10:10:36.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:37.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
10:10:38.000;0.00;-11.58;-1.50;0.00;0;0;1;1;1
